Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,City,Gender,Top_Category
CUST1246,16,1,2094.36,5,1,1,511,Potential Loyalists,Kolkata,Female,Electronics
CUST1252,306,1,112029.57,1,1,3,113,Lost,Pune,Male,Fashion
CUST1253,216,1,87892.59,2,1,3,213,Promising,Gaya,Female,Electronics
CUST1256,200,1,242289.7,3,1,5,315,Potential Loyalists,Kolkata,Male,Electronics
CUST1258,229,1,47389.09,2,1,2,212,Promising,Hyderabad,Male,Electronics
CUST1269,186,1,80421.12,3,1,2,312,Potential Loyalists,Gaya,Female,Education
CUST1284,308,1,105461.08,1,1,3,113,Lost,Bengaluru,Male,Electronics
CUST1312,261,1,144194.72,2,1,4,214,Promising,Kolkata,Male,Electronics
CUST1316,235,1,16249.69,2,1,1,211,Promising,Delhi,Female,Electronics
CUST1334,56,1,34200.58,5,1,1,511,Potential Loyalists,Kolkata,Male,Fashion
CUST1339,155,1,203324.1,3,1,4,314,Potential Loyalists,Kolkata,Male,Education
CUST1357,323,1,195601.44,1,1,4,114,Lost,Delhi,Male,Fashion
CUST1367,243,1,43529.29,2,1,2,212,Promising,Bengaluru,Female,Education
CUST1396,143,1,21572.48,4,1,1,411,Potential Loyalists,Pune,Male,Furniture
CUST1399,339,1,74022.24,1,1,2,112,Lost,Gaya,Male,Education
CUST1401,92,1,254734.06,4,1,5,415,Potential Loyalists,Delhi,Male,Grocery
CUST1406,40,1,315765.0,5,1,5,515,Potential Loyalists,Gaya,Male,Fashion
CUST1419,204,1,54878.34,3,1,2,312,Potential Loyalists,Mumbai,Male,Grocery
CUST1433,29,1,108470.6,5,1,3,513,Potential Loyalists,Mumbai,Female,Fashion
CUST1436,36,1,19590.5,5,1,1,511,Potential Loyalists,Delhi,Female,Electronics
CUST1442,292,1,27918.98,1,1,1,111,Lost,Pune,Female,Education
CUST1443,26,1,25336.7,5,1,1,511,Potential Loyalists,,Female,Grocery
CUST1452,323,1,266207.48,1,1,5,115,Lost,Hyderabad,Female,Fashion
CUST1453,242,1,42816.6,2,1,2,212,Promising,Gaya,Male,Fashion
CUST1463,136,2,173654.34000000003,4,5,4,454,Champions,Bengaluru,Female,Electronics
CUST1468,179,1,359775.2,3,1,5,315,Potential Loyalists,Kolkata,Female,Fashion
CUST1479,149,1,317305.7,3,1,5,315,Potential Loyalists,Bengaluru,Female,Furniture
CUST1481,79,1,78764.8,4,1,2,412,Potential Loyalists,Patna,Female,Furniture
CUST1516,240,1,199641.96,2,1,4,214,Promising,Mumbai,Male,Electronics
CUST1528,287,1,48389.92,2,1,2,212,Promising,Patna,Male,Electronics
CUST1557,309,1,123371.82,1,1,3,113,Lost,Mumbai,Female,Furniture
CUST1565,72,1,80289.8,4,1,2,412,Potential Loyalists,Delhi,Female,Education
CUST1577,320,1,36943.51,1,1,1,111,Lost,Delhi,Male,Fashion
CUST1603,292,1,136560.28,1,1,3,113,Lost,Mumbai,Female,Electronics
CUST1611,58,1,46050.0,5,1,2,512,Potential Loyalists,Patna,Male,Grocery
CUST1614,323,1,74620.36,1,1,2,112,Lost,Bengaluru,Female,Education
CUST1616,131,1,99704.97,4,1,3,413,Potential Loyalists,Delhi,Female,Electronics
CUST1618,97,1,158916.6,4,1,4,414,Potential Loyalists,Patna,Male,Grocery
CUST1636,110,1,52698.94,4,1,2,412,Potential Loyalists,Patna,Female,Furniture
CUST1637,13,1,20669.3,5,1,1,511,Potential Loyalists,Patna,Male,Grocery
CUST1658,212,1,193777.92,3,1,4,314,Potential Loyalists,Hyderabad,Male,Grocery
CUST1662,154,1,96526.71,3,1,3,313,Potential Loyalists,Pune,Female,Education
CUST1673,166,1,175604.15,3,1,4,314,Potential Loyalists,Gaya,Male,Grocery
CUST1681,170,1,140328.85,3,1,3,313,Potential Loyalists,Delhi,Male,Fashion
CUST1691,86,1,14209.86,4,1,1,411,Potential Loyalists,Mumbai,Male,Electronics
CUST1710,107,1,440456.6,4,1,5,415,Potential Loyalists,Hyderabad,Female,Education
CUST1711,173,1,490866.4,3,1,5,315,Potential Loyalists,Bengaluru,Female,Fashion
CUST1713,147,1,31739.18,3,1,1,311,Potential Loyalists,Bengaluru,Female,Fashion
CUST1743,116,1,161107.04,4,1,4,414,Potential Loyalists,Hyderabad,Male,Fashion
CUST1753,226,1,3239.94,2,1,1,211,Promising,Hyderabad,Female,Fashion
CUST1758,80,1,299985.18,4,1,5,415,Potential Loyalists,Patna,Male,Electronics
CUST1759,142,1,109150.3,4,1,3,413,Potential Loyalists,Delhi,Female,Electronics
CUST1762,157,1,123899.8,3,1,3,313,Potential Loyalists,Delhi,Male,Education
CUST1764,10,1,51751.06,5,1,2,512,Potential Loyalists,Hyderabad,Male,Electronics
CUST1766,303,1,7119.05,1,1,1,111,Lost,Kolkata,Male,Electronics
CUST1779,213,1,166613.7,3,1,4,314,Potential Loyalists,Delhi,Female,Fashion
CUST1780,216,1,105473.12,2,1,3,213,Promising,Hyderabad,Male,Education
CUST1790,277,1,12225.22,2,1,1,211,Promising,Hyderabad,Male,Electronics
CUST1806,209,1,64332.45,3,1,2,312,Potential Loyalists,Patna,Male,Furniture
CUST1808,73,1,218701.12,4,1,4,414,Potential Loyalists,Patna,Male,Furniture
CUST1822,87,1,121853.1,4,1,3,413,Potential Loyalists,Kolkata,Male,Electronics
CUST1833,5,1,111006.18,5,1,3,513,Potential Loyalists,Gaya,Male,Education
CUST1835,8,1,64865.3,5,1,2,512,Potential Loyalists,Gaya,Female,Furniture
CUST1840,366,1,23787.6,1,1,1,111,Lost,Kolkata,Female,Electronics
CUST1841,313,1,82193.5,1,1,2,112,Lost,Kolkata,Male,Education
CUST1887,98,1,277415.76,4,1,5,415,Potential Loyalists,Hyderabad,Male,Furniture
CUST1890,283,1,129500.85,2,1,3,213,Promising,Gaya,Male,Furniture
CUST1906,32,1,40714.7,5,1,2,512,Potential Loyalists,Hyderabad,Male,Furniture
CUST1928,190,1,340497.71,3,1,5,315,Potential Loyalists,Mumbai,Female,Electronics
CUST1932,104,1,7741.12,4,1,1,411,Potential Loyalists,Delhi,Male,Electronics
CUST1936,301,1,130702.11,1,1,3,113,Lost,Delhi,Male,Electronics
CUST1940,133,1,163606.7,4,1,4,414,Potential Loyalists,Gaya,Male,Fashion
CUST1956,6,1,110614.05,5,1,3,513,Potential Loyalists,Bengaluru,Female,Fashion
CUST1960,212,1,285213.69,3,1,5,315,Potential Loyalists,Kolkata,Male,Grocery
CUST1962,291,1,55802.3,1,1,2,112,Lost,Delhi,Male,Grocery
CUST1987,4,1,58568.76,5,1,2,512,Potential Loyalists,Kolkata,Male,Electronics
CUST1991,212,1,126402.03,3,1,3,313,Potential Loyalists,Kolkata,Female,Education
CUST1994,7,2,238881.24,5,5,4,554,Champions,Patna,Female,Education
CUST1997,57,2,136106.62,5,5,3,553,Loyal Customers,Patna,Female,Electronics
CUST2003,154,1,47674.82,3,1,2,312,Potential Loyalists,Mumbai,Female,Grocery
CUST2006,261,1,3310.72,2,1,1,211,Promising,Kolkata,Male,Education
CUST2025,62,1,98774.4,5,1,3,513,Potential Loyalists,Delhi,Female,Furniture
CUST2027,214,1,121322.16,3,1,3,313,Potential Loyalists,Gaya,Male,Grocery
CUST2031,328,1,34616.52,1,1,1,111,Lost,Gaya,Female,Fashion
CUST2039,312,1,231048.23,1,1,4,114,Lost,Mumbai,Male,Electronics
CUST2051,327,1,109237.86,1,1,3,113,Lost,Bengaluru,Male,Grocery
CUST2062,115,1,493677.5,4,1,5,415,Potential Loyalists,Patna,Male,Education
CUST2079,68,1,323841.07,5,1,5,515,Potential Loyalists,Mumbai,Male,Furniture
CUST2088,250,1,24428.2,2,1,1,211,Promising,Hyderabad,Female,Education
CUST2093,248,1,121791.05,2,1,3,213,Promising,Mumbai,Female,Electronics
CUST2094,166,1,113543.48,3,1,3,313,Potential Loyalists,Hyderabad,Female,Education
CUST2126,263,1,21819.5,2,1,1,211,Promising,Patna,Male,Grocery
CUST2137,272,1,91115.3,2,1,3,213,Promising,Mumbai,Female,Fashion
CUST2138,299,1,137878.74,1,1,3,113,Lost,Gaya,Female,Grocery
CUST2152,111,1,96867.4,4,1,3,413,Potential Loyalists,Bengaluru,Female,Electronics
CUST2157,278,1,86397.04,2,1,2,212,Promising,,Male,Electronics
CUST2181,102,1,22401.12,4,1,1,411,Potential Loyalists,Bengaluru,Female,Grocery
CUST2190,216,1,75639.4,2,1,2,212,Promising,Hyderabad,Male,Grocery
CUST2202,166,1,80260.42,3,1,2,312,Potential Loyalists,Patna,Female,Furniture
CUST2218,221,1,63231.28,2,1,2,212,Promising,Delhi,Male,Furniture
CUST2231,235,1,1144.78,2,1,1,211,Promising,Delhi,Male,Electronics
CUST2236,164,1,26010.12,3,1,1,311,Potential Loyalists,Pune,Male,Electronics
CUST2242,39,1,349767.9,5,1,5,515,Potential Loyalists,Delhi,Female,Electronics
CUST2256,316,1,115969.35,1,1,3,113,Lost,Hyderabad,Male,Fashion
CUST2260,336,1,11539.95,1,1,1,111,Lost,Kolkata,Male,Electronics
CUST2286,11,1,36304.28,5,1,1,511,Potential Loyalists,Patna,Female,Electronics
CUST2290,291,1,48677.96,1,1,2,112,Lost,Mumbai,Male,Education
CUST2295,59,1,238983.9,5,1,4,514,Potential Loyalists,Mumbai,Male,Education
CUST2343,1,1,98080.92,5,1,3,513,Potential Loyalists,Patna,Male,Electronics
CUST2345,115,1,224371.6,4,1,4,414,Potential Loyalists,Bengaluru,Male,Education
CUST2350,55,1,101171.88,5,1,3,513,Potential Loyalists,Pune,Male,Electronics
CUST2364,164,1,83149.52,3,1,2,312,Potential Loyalists,Hyderabad,Female,Grocery
CUST2369,157,1,64307.52,3,1,2,312,Potential Loyalists,Mumbai,Male,Furniture
CUST2378,178,1,19026.35,3,1,1,311,Potential Loyalists,Hyderabad,Male,Fashion
CUST2384,326,1,30394.74,1,1,1,111,Lost,Gaya,Male,Electronics
CUST2394,186,1,299334.78,3,1,5,315,Potential Loyalists,Patna,Male,Grocery
CUST2403,230,1,237978.32,2,1,4,214,Promising,Pune,Male,Electronics
CUST2411,352,1,184045.4,1,1,4,114,Lost,Mumbai,Female,Electronics
CUST2418,76,1,93055.86,4,1,3,413,Potential Loyalists,Gaya,Male,Furniture
CUST2423,43,1,113778.84,5,1,3,513,Potential Loyalists,Hyderabad,Male,Electronics
CUST2428,17,1,48123.87,5,1,2,512,Potential Loyalists,Mumbai,Female,Education
CUST2448,310,1,148803.66,1,1,4,114,Lost,Kolkata,Female,Furniture
CUST2457,337,1,43633.34,1,1,2,112,Lost,Kolkata,Male,Electronics
CUST2463,273,1,248328.55,2,1,5,215,Promising,Bengaluru,Male,Electronics
CUST2480,296,1,20740.93,1,1,1,111,Lost,Gaya,Female,Fashion
CUST2482,267,1,354730.14,2,1,5,215,Promising,Mumbai,Male,Education
CUST2515,24,3,431192.86,5,5,5,555,Champions,Hyderabad,Female,Electronics
CUST2520,356,1,141401.85,1,1,3,113,Lost,Kolkata,Female,Electronics
CUST2537,220,1,1005.21,2,1,1,211,Promising,Bengaluru,Female,Electronics
CUST2542,58,1,431463.9,5,1,5,515,Potential Loyalists,Hyderabad,Male,Electronics
CUST2551,337,1,61673.9,1,1,2,112,Lost,Patna,Male,Education
CUST2562,72,1,437.34,4,1,1,411,Potential Loyalists,Bengaluru,Male,Grocery
CUST2565,130,1,146098.6,4,1,4,414,Potential Loyalists,Hyderabad,Female,Fashion
CUST2586,159,1,84954.25,3,1,2,312,Potential Loyalists,Pune,Male,Electronics
CUST2589,173,1,84392.92,3,1,2,312,Potential Loyalists,Delhi,Male,Electronics
CUST2597,152,1,287434.35,3,1,5,315,Potential Loyalists,Kolkata,Male,Electronics
CUST2599,312,1,134115.7,1,1,3,113,Lost,Mumbai,Male,Electronics
CUST2604,343,1,51372.25,1,1,2,112,Lost,Kolkata,Male,Electronics
CUST2632,360,1,67601.66,1,1,2,112,Lost,Kolkata,Male,Electronics
CUST2644,180,1,175457.4,3,1,4,314,Potential Loyalists,Pune,Male,Furniture
CUST2650,140,1,162226.4,4,1,4,414,Potential Loyalists,Kolkata,Female,Furniture
CUST2661,324,1,252904.44,1,1,5,115,Lost,Delhi,Male,Electronics
CUST2669,329,1,359291.92,1,1,5,115,Lost,Bengaluru,Male,Electronics
CUST2671,285,1,23398.57,2,1,1,211,Promising,Delhi,Male,Fashion
CUST2672,182,1,191186.12,3,1,4,314,Potential Loyalists,Pune,Female,Electronics
CUST2680,156,1,124790.55,3,1,3,313,Potential Loyalists,Patna,Female,Education
CUST2687,71,1,49496.16,4,1,2,412,Potential Loyalists,Hyderabad,Female,Education
CUST2690,47,1,66608.34,5,1,2,512,Potential Loyalists,Delhi,Male,Education
CUST2697,147,1,83144.7,3,1,2,312,Potential Loyalists,Hyderabad,Male,Education
CUST2705,69,1,124270.25,4,1,3,413,Potential Loyalists,Kolkata,Male,Electronics
CUST2708,287,1,189759.6,2,1,4,214,Promising,Delhi,Male,Education
CUST2714,254,1,202444.83,2,1,4,214,Promising,Gaya,Female,Furniture
CUST2742,272,1,107330.05,2,1,3,213,Promising,Delhi,Female,Grocery
CUST2744,254,1,76084.8,2,1,2,212,Promising,Bengaluru,Male,Electronics
CUST2757,10,1,64048.05,5,1,2,512,Potential Loyalists,Patna,Male,Electronics
CUST2777,308,1,174736.89,1,1,4,114,Lost,Gaya,Male,Electronics
CUST2779,10,1,178648.82,5,1,4,514,Potential Loyalists,Patna,Female,Grocery
CUST2791,26,1,246944.64,5,1,5,515,Potential Loyalists,Bengaluru,Female,Electronics
CUST2793,101,1,115263.96,4,1,3,413,Potential Loyalists,Gaya,Female,Electronics
CUST2794,15,2,284872.06,5,5,5,555,Champions,Mumbai,Female,Electronics
CUST2796,106,1,147307.52,4,1,4,414,Potential Loyalists,Patna,Male,Education
CUST2804,274,1,90508.14,2,1,3,213,Promising,Pune,Female,Electronics
CUST2812,218,1,767.61,2,1,1,211,Promising,Gaya,Male,Furniture
CUST2827,154,1,84805.75,3,1,2,312,Potential Loyalists,Hyderabad,Male,Education
CUST2832,323,1,162512.76,1,1,4,114,Lost,Pune,Male,Furniture
CUST2834,265,1,270821.34,2,1,5,215,Promising,Kolkata,Male,Grocery
CUST2835,190,1,65413.26,3,1,2,312,Potential Loyalists,Kolkata,Male,Furniture
CUST2836,56,1,144754.88,5,1,4,514,Potential Loyalists,Patna,Female,Fashion
CUST2859,22,1,161565.2,5,1,4,514,Potential Loyalists,Kolkata,Female,Grocery
CUST2862,103,1,74724.16,4,1,2,412,Potential Loyalists,Bengaluru,Male,Grocery
CUST2863,326,1,132772.22,1,1,3,113,Lost,Patna,Female,Electronics
CUST2867,6,1,257759.6,5,1,5,515,Potential Loyalists,Hyderabad,Male,Fashion
CUST2870,79,2,211801.52,4,5,4,454,Champions,Patna,Female,Education
CUST2871,106,1,147500.76,4,2,4,424,Potential Loyalists,Delhi,Female,Furniture
CUST2903,90,1,107774.59,4,2,3,423,Potential Loyalists,Mumbai,Female,Education
CUST2904,142,1,412680.6,4,2,5,425,Potential Loyalists,Bengaluru,Female,Fashion
CUST2921,296,1,139876.08,1,2,3,123,Promising,Patna,Male,Fashion
CUST2935,332,1,30364.5,1,2,1,121,Promising,Delhi,Male,Electronics
CUST2953,312,1,220868.4,1,2,4,124,Promising,Kolkata,Female,Grocery
CUST2956,90,1,132611.45,4,2,3,423,Potential Loyalists,Patna,Male,Furniture
CUST2967,175,1,36396.7,3,2,1,321,Potential Loyalists,Mumbai,Female,Furniture
CUST2969,243,1,237972.6,2,2,4,224,Promising,Kolkata,Male,Grocery
CUST2997,110,1,34192.3,4,2,1,421,Potential Loyalists,Hyderabad,Female,Electronics
CUST3001,117,2,14067.77,4,5,1,451,Loyal Customers,Delhi,Female,Education
CUST3002,44,1,219937.28,5,2,4,524,Potential Loyalists,Mumbai,Male,Education
CUST3004,239,1,3971.35,2,2,1,221,Promising,Pune,Female,Fashion
CUST3006,102,2,351367.34,4,5,5,455,Champions,Hyderabad,Male,Furniture
CUST3023,117,1,368979.6,4,2,5,425,Potential Loyalists,Gaya,Female,Fashion
CUST3024,220,1,242884.38,2,2,5,225,Promising,Patna,Female,Electronics
CUST3044,241,1,318554.4,2,2,5,225,Promising,Bengaluru,Female,Grocery
CUST3054,217,1,63845.1,2,2,2,222,Promising,Mumbai,Female,Furniture
CUST3059,281,1,234450.42,2,2,4,224,Promising,Patna,Male,Fashion
CUST3075,323,1,8162.84,1,2,1,121,Promising,Bengaluru,Male,Electronics
CUST3078,123,1,76256.64,4,2,2,422,Potential Loyalists,Gaya,Male,Grocery
CUST3080,244,1,43789.89,2,2,2,222,Promising,Pune,Female,Furniture
CUST3089,17,1,139534.08,5,2,3,523,Potential Loyalists,Kolkata,Female,Electronics
CUST3094,164,1,343480.48,3,2,5,325,Potential Loyalists,Bengaluru,Female,Electronics
CUST3107,280,1,28766.56,2,2,1,221,Promising,Kolkata,Female,Electronics
CUST3127,80,1,139530.8,4,2,3,423,Potential Loyalists,Bengaluru,Male,Education
CUST3129,90,1,376842.87,4,2,5,425,Potential Loyalists,Hyderabad,Male,Education
CUST3138,194,1,104971.05,3,2,3,323,Potential Loyalists,Mumbai,Female,Grocery
CUST3169,13,1,138808.11,5,2,3,523,Potential Loyalists,Delhi,Female,Electronics
CUST3186,285,1,156219.8,2,2,4,224,Promising,Delhi,Female,Electronics
CUST3189,83,1,69219.64,4,2,2,422,Potential Loyalists,Kolkata,Female,Education
CUST3194,345,1,51591.1,1,2,2,122,Promising,Kolkata,Male,Education
CUST3210,353,1,122561.37,1,2,3,123,Promising,Mumbai,Female,Electronics
CUST3212,146,1,42764.32,3,2,2,322,Potential Loyalists,Gaya,Male,Grocery
CUST3228,245,1,283052.58,2,2,5,225,Promising,Patna,Female,Furniture
CUST3237,18,1,270087.16,5,2,5,525,Potential Loyalists,Kolkata,Female,Grocery
CUST3260,5,1,110900.34,5,2,3,523,Potential Loyalists,Mumbai,Male,Education
CUST3264,30,1,42437.1,5,2,2,522,Potential Loyalists,Gaya,Female,Electronics
CUST3265,74,1,97693.35,4,2,3,423,Potential Loyalists,Gaya,Male,Grocery
CUST3277,351,1,190335.12,1,2,4,124,Promising,Gaya,Female,Electronics
CUST3281,93,1,190106.9,4,2,4,424,Potential Loyalists,Pune,Female,Electronics
CUST3285,213,1,392423.76,3,2,5,325,Potential Loyalists,Mumbai,Female,Electronics
CUST3297,237,1,40350.67,2,2,2,222,Promising,Gaya,Male,Electronics
CUST3298,173,1,72667.0,3,2,2,322,Potential Loyalists,Kolkata,Female,Grocery
CUST3316,264,1,261998.08,2,2,5,225,Promising,Patna,Female,Education
CUST3321,174,1,62003.61,3,2,2,322,Potential Loyalists,Bengaluru,Female,Electronics
CUST3327,43,1,90435.84,5,2,3,523,Potential Loyalists,Pune,Female,Electronics
CUST3330,188,1,162554.32,3,2,4,324,Potential Loyalists,Hyderabad,Female,Electronics
CUST3341,94,1,186519.72,4,2,4,424,Potential Loyalists,Gaya,Male,Electronics
CUST3345,324,1,58809.5,1,2,2,122,Promising,Gaya,Female,Education
CUST3365,130,1,119390.88,4,2,3,423,Potential Loyalists,Delhi,Male,Electronics
CUST3366,63,2,360570.11,5,5,5,555,Champions,Delhi,Male,Electronics
CUST3393,115,1,108717.45,4,2,3,423,Potential Loyalists,Hyderabad,Female,Electronics
CUST3397,300,1,26461.65,1,2,1,121,Promising,Gaya,Male,Furniture
CUST3417,328,1,252084.4,1,2,5,125,Promising,Patna,Male,Electronics
CUST3418,219,1,1229.02,2,2,1,221,Promising,Gaya,Female,Electronics
CUST3430,176,1,215754.42,3,2,4,324,Potential Loyalists,Kolkata,Female,Electronics
CUST3438,51,1,148435.74,5,2,4,524,Potential Loyalists,Patna,Male,Fashion
CUST3440,179,1,33098.3,3,2,1,321,Potential Loyalists,Pune,Female,Electronics
CUST3459,154,1,88586.31,3,2,3,323,Potential Loyalists,Pune,Male,Electronics
CUST3464,243,1,172829.92,2,2,4,224,Promising,Bengaluru,Female,Education
CUST3473,292,1,18903.96,1,2,1,121,Promising,Hyderabad,Male,Education
CUST3497,236,1,119906.32,2,2,3,223,Promising,Patna,Male,Electronics
CUST3499,173,1,40383.06,3,2,2,322,Potential Loyalists,Mumbai,Male,Furniture
CUST3508,49,2,192315.52000000002,5,5,4,554,Champions,Gaya,Female,Electronics
CUST3522,347,1,30869.01,1,2,1,121,Promising,Bengaluru,Male,Furniture
CUST3537,260,1,141646.92,2,2,3,223,Promising,Pune,Female,Furniture
CUST3542,315,1,47618.43,1,2,2,122,Promising,Patna,Male,Electronics
CUST3564,209,1,444513.78,3,2,5,325,Potential Loyalists,Patna,Male,Grocery
CUST3566,320,1,178545.48,1,2,4,124,Promising,Patna,Female,Electronics
CUST3567,177,1,300593.16,3,2,5,325,Potential Loyalists,Bengaluru,Male,Furniture
CUST3576,275,1,321187.65,2,2,5,225,Promising,Hyderabad,Male,Electronics
CUST3580,246,1,89124.8,2,2,3,223,Promising,Gaya,Female,Electronics
CUST3602,212,1,67401.84,3,2,2,322,Potential Loyalists,Pune,Male,Electronics
CUST3603,251,1,15061.67,2,2,1,221,Promising,Delhi,Female,Grocery
CUST3607,95,1,105764.6,4,2,3,423,Potential Loyalists,Patna,Female,Education
CUST3618,178,1,330723.9,3,2,5,325,Potential Loyalists,Pune,Male,Electronics
CUST3623,183,1,338531.22,3,2,5,325,Potential Loyalists,Mumbai,Male,Electronics
CUST3625,310,1,105841.56,1,2,3,123,Promising,Kolkata,Female,Electronics
CUST3652,75,1,21496.95,4,2,1,421,Potential Loyalists,Hyderabad,Male,Education
CUST3662,352,1,14919.85,1,2,1,121,Promising,Hyderabad,Female,Electronics
CUST3668,62,1,280078.14,5,2,5,525,Potential Loyalists,Patna,Male,Electronics
CUST3677,203,1,17041.21,3,2,1,321,Potential Loyalists,Patna,Female,Fashion
CUST3679,228,1,239465.0,2,2,4,224,Promising,Patna,Male,Fashion
CUST3682,50,1,144829.17,5,2,4,524,Potential Loyalists,Kolkata,Female,Education
CUST3685,68,1,35489.21,5,2,1,521,Potential Loyalists,Delhi,Female,Furniture
CUST3688,331,1,213936.9,1,2,4,124,Promising,Bengaluru,Female,Electronics
CUST3689,209,2,542484.08,3,5,5,355,Loyal Customers,Delhi,Female,Electronics
CUST3690,22,1,102479.94,5,2,3,523,Potential Loyalists,Delhi,Female,Education
CUST3714,120,1,165724.79,4,2,4,424,Potential Loyalists,Patna,Female,Grocery
CUST3723,320,1,16453.6,1,2,1,121,Promising,Kolkata,Male,Electronics
CUST3730,168,2,538633.97,3,5,5,355,Loyal Customers,Gaya,Female,Furniture
CUST3741,25,1,48583.48,5,2,2,522,Potential Loyalists,Mumbai,Female,Electronics
CUST3744,215,1,93190.71,3,2,3,323,Potential Loyalists,Mumbai,Female,Fashion
CUST3745,120,1,217666.56,4,2,4,424,Potential Loyalists,Hyderabad,Female,Electronics
CUST3747,300,1,23973.18,1,2,1,121,Promising,Mumbai,Female,Electronics
CUST3751,23,1,69239.88,5,2,2,522,Potential Loyalists,Bengaluru,Male,Fashion
CUST3759,267,1,301283.73,2,2,5,225,Promising,Mumbai,Female,Grocery
CUST3760,119,1,41626.11,4,2,2,422,Potential Loyalists,Bengaluru,Female,Fashion
CUST3763,29,2,294488.9,5,5,5,555,Champions,Delhi,Female,Fashion
CUST3767,10,1,1981.7,5,2,1,521,Potential Loyalists,Hyderabad,Female,Furniture
CUST3773,163,2,412403.57999999996,3,5,5,355,Loyal Customers,Patna,Female,Furniture
CUST3778,326,1,47848.0,1,2,2,122,Promising,Bengaluru,Female,Fashion
CUST3794,175,1,103917.5,3,2,3,323,Potential Loyalists,Hyderabad,Female,Education
CUST3809,40,1,51282.42,5,2,2,522,Potential Loyalists,Gaya,Female,Education
CUST3820,237,1,100104.3,2,2,3,223,Promising,Delhi,Female,Grocery
CUST3835,104,1,144095.7,4,2,4,424,Potential Loyalists,Delhi,Male,Education
CUST3839,360,1,410547.2,1,2,5,125,Promising,Bengaluru,Male,Electronics
CUST3843,181,1,37727.1,3,2,1,321,Potential Loyalists,Bengaluru,Female,Electronics
CUST3850,95,1,122047.5,4,2,3,423,Potential Loyalists,Kolkata,Female,Furniture
CUST3851,92,1,29862.4,4,2,1,421,Potential Loyalists,Delhi,Male,Electronics
CUST3867,250,1,25348.95,2,2,1,221,Promising,,Female,Electronics
CUST3877,7,1,85323.78,5,2,2,522,Potential Loyalists,Delhi,Male,Electronics
CUST3887,68,1,169196.64,5,2,4,524,Potential Loyalists,Mumbai,Female,Electronics
CUST3891,306,1,150743.16,1,2,4,124,Promising,Mumbai,Male,Electronics
CUST3911,158,1,81607.25,3,2,2,322,Potential Loyalists,Gaya,Female,Fashion
CUST3948,259,1,116728.5,2,2,3,223,Promising,Hyderabad,Male,Furniture
CUST3952,2,1,323527.23,5,2,5,525,Potential Loyalists,Hyderabad,Female,Electronics
CUST3966,27,1,120078.24,5,2,3,523,Potential Loyalists,Hyderabad,Female,Furniture
CUST3972,46,1,240883.83,5,2,4,524,Potential Loyalists,Gaya,Male,Grocery
CUST3987,283,1,330496.47,2,2,5,225,Promising,Pune,Female,Grocery
CUST4002,244,1,234114.2,2,2,4,224,Promising,Gaya,Female,Electronics
CUST4003,278,1,468522.0,2,2,5,225,Promising,Bengaluru,Female,Grocery
CUST4009,341,1,43713.28,1,2,2,122,Promising,Hyderabad,Male,Grocery
CUST4034,186,1,85717.2,3,2,2,322,Potential Loyalists,Kolkata,Female,Electronics
CUST4037,242,1,470798.6,2,2,5,225,Promising,Kolkata,Male,Electronics
CUST4041,82,2,173329.08,4,5,4,454,Champions,Bengaluru,Female,Electronics
